fourletter_code,english_name,scientific_name
WFLA,White-flanked Antwren,Myrmotherula axillaris
WFRA,White-fringed Antwren,Formicivora grisea
WFNU,White-fronted Nunbird,Monasa morphoeus
WFPA,White-fronted Parrot,Amazona albifrons
WFRQ,White-fronted Quail-Dove,Geotrygon leucometopia
WFSW,White-fronted Swift,Cypseloides storeri
WHWO,White-headed Woodpecker,Dryobates albolarvatus
WHWR,White-headed Wren,Campylorhynchus albobrunneus
WLTA,White-lined Tanager,Tachyphonus rufus
WLGN,White-lored Gnatcatcher,Polioptila albiloris
WNBR,White-naped Brushfinch,Atlapetes albinucha
WNSW,White-naped Swift,Streptoprocne semicollaris
WNCR,White-necked Crow,Corvus leucognaphalus
WNJA,White-necked Jacobin,Florisuga mellivora
WNPE,White-necked Petrel,Pterodroma cervicalis
WNPU,White-necked Puffbird,Notharchus hyperrhynchus
WRFL,White-ringed Flycatcher,Conopias albovittatus
WRMA,White-ruffed Manakin,Corapipo altera
WRSA,White-rumped Sandpiper,Calidris fuscicollis
WRSH,White-rumped Shama,Copsychus malabaricus
WSTA,White-shouldered Tanager,Tachyphonus luctuosus
WSWO,White-striped Woodcreeper,Lepidocolaptes leucogaster
WTEA,White-tailed Eagle,Haliaeetus albicilla
WTEM,White-tailed Emerald,Elvira chionura
WTHA,White-tailed Hawk,Geranoaetus albicaudatus
WTAH,White-tailed Hummingbird,Eupherusa poliocerca
WTKI,White-tailed Kite,Elanus leucurus
WTNI,White-tailed Nightjar,Hydropsalis cayennensis
WTPT,White-tailed Ptarmigan,Lagopus leucura
WTAT,White-tailed Trogon,Trogon chionurus
WTTR,White-tailed Tropicbird,Phaethon lepturus
WTGS,White-thighed Swallow,Atticora tibialis
WTCR,White-throated Crake,Laterallus albigularis
WTFL,White-throated Flycatcher,Empidonax albigularis
WTJA,White-throated Jay,Cyanolyca mirabilis
WTMJ,White-throated Magpie-Jay,Calocitta formosa
WTMG,White-throated Mountain-gem,Lampornis castaneoventris
WTNE,White-throated Needletail,Hirundapus caudacutus
WTST,White-throated Shrike-Tanager,Lanio leucothorax
WTRS,White-throated Spadebill,Platyrinchus mystaceus
WTSP,White-throated Sparrow,Zonotrichia albicollis
WTSW,White-throated Swift,Aeronautes saxatalis
WTTH,White-throated Thrush,Turdus assimilis
WTTO,White-throated Towhee,Melozone albicollis
WTDO,White-tipped Dove,Leptotila verreauxi
WTSI,White-tipped Sicklebill,Eutoxeres aquila
WVEU,White-vented Euphonia,Euphonia minuta
WVPL,White-vented Plumeleteer,Chalybura buffonii
WWPU,White-whiskered Puffbird,Malacoptila panamensis
WWBE,White-winged Becard,Pachyramphus polychopterus
WWCR,White-winged Crossbill,Loxia leucoptera
WWDO,White-winged Dove,Zenaida asiatica
WWPA,White-winged Parakeet,Brotogeris versicolurus
WWSC,White-winged Scoter,Melanitta deglandi
WWTA,White-winged Tanager,Piranga leucoptera
WWTE,White-winged Tern,Chlidonias leucopterus
WWWA,White-winged Warbler,Xenoligea montana
WHOS,Whooper Swan,Cygnus cygnus
WHCR,Whooping Crane,Grus americana
WHMO,Whooping Motmot,Momotus subrufescens
WITU,Wild Turkey,Meleagris gallopavo
WILL,Willet,Tringa semipalmata
WISA,Williamson's Sapsucker,Sphyrapicus thyroideus
WIFL,Willow Flycatcher,Empidonax traillii
WIPT,Willow Ptarmigan,Lagopus lagopus
WILW,Willow Warbler,Phylloscopus trochilus
WIPH,Wilson's Phalarope,Phalaropus tricolor
WIPL,Wilson's Plover,Charadrius wilsonia
WISN,Wilson's Snipe,Gallinago delicata
WISP,Wilson's Storm-Petrel,Oceanites oceanicus
WIWA,Wilson's Warbler,Cardellina pusilla
WTHH,Wine-throated Hummingbird,Atthis ellioti
WBAA,Wing-banded Antbird,Myrmornis torquata
WIWR,Winter Wren,Troglodytes hiemalis
WODU,Wood Duck,Aix sponsa
WOSA,Wood Sandpiper,Tringa glareola
WOST,Wood Stork,Mycteria americana
WOTH,Wood Thrush,Hylocichla mustelina
WOWA,Wood Warbler,Phylloscopus sibilatrix
WOSJ,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii
WEWA,Worm-eating Warbler,Helmitheros vermivorum
WOSP,Worthen's Sparrow,Spizella wortheni
WRET,Wrenthrush,Zeledonia coronata
WREN,Wrentit,Chamaea fasciata
XAHU,Xantus's Hummingbird,Hylocharis xantusii
YEBI,Yellow Bittern,Ixobrychus sinensis
